,movie,link,director,genre
0,The Godfather,https://www.metacritic.com/movie/the-godfather,['Francis Ford Coppola'],"['Drama', 'Thriller', 'Crime']"
1,Citizen Kane,https://www.metacritic.com/movie/citizen-kane,['Orson Welles'],"['Drama', 'Mystery']"
2,Rear Window,https://www.metacritic.com/movie/rear-window,['Alfred Hitchcock'],"['Mystery', 'Thriller']"
3,Casablanca,https://www.metacritic.com/movie/casablanca,['Michael Curtiz'],"['Drama', 'Romance', 'War']"
4,Boyhood,https://www.metacritic.com/movie/boyhood,['Richard Linklater'],['Drama']
5,Three Colors: Red,https://www.metacritic.com/movie/three-colors-red,['Krzysztof Kieslowski'],"['Drama', 'Mystery', 'Romance']"
6,Vertigo,https://www.metacritic.com/movie/vertigo,['Alfred Hitchcock'],"['Mystery', 'Thriller', 'Romance']"
7,Notorious,https://www.metacritic.com/movie/notorious-1946,['Alfred Hitchcock'],"['Drama', 'Thriller', 'Romance', 'Film-Noir']"
8,Singin' in the Rain,https://www.metacritic.com/movie/singin-in-the-rain,"['Gene Kelly', 'Stanley Donen']","['Comedy', 'Romance', 'Musical']"
9,City Lights,https://www.metacritic.com/movie/city-lights,['Charles Chaplin'],"['Drama', 'Comedy', 'Romance']"
10,Moonlight,https://www.metacritic.com/movie/moonlight-2016,['Barry Jenkins'],['Drama']
11,Intolerance,https://www.metacritic.com/movie/intolerance,['D.W. Griffith'],"['Drama', 'History']"
12,Pinocchio,https://www.metacritic.com/movie/pinocchio-1940,"['Ben Sharpsteen', 'Bill Roberts', 'Hamilton Luske', 'Jack Kinney', 'Norman Ferguson', 'T. Hee', 'Wilfred Jackson']","['Fantasy', 'Comedy', 'Animation', 'Family', 'Musical']"
13,Touch of Evil,https://www.metacritic.com/movie/touch-of-evil,['Orson Welles'],"['Drama', 'Thriller', 'Crime', 'Film-Noir']"
14,Au hasard Balthazar,https://www.metacritic.com/movie/au-hasard-balthazar,['Robert Bresson'],"['Drama', 'Crime']"
15,The Lady Vanishes,https://www.metacritic.com/movie/the-lady-vanishes-1938,['Alfred Hitchcock'],"['Mystery', 'Thriller']"
16,The Treasure of the Sierra Madre,https://www.metacritic.com/movie/the-treasure-of-the-sierra-madre,['John Huston'],"['Adventure', 'Drama', 'Western']"
17,Pan's Labyrinth,https://www.metacritic.com/movie/pans-labyrinth,['Guillermo del Toro'],"['Drama', 'Mystery', 'Thriller', 'Fantasy', 'War']"
18,Some Like It Hot,https://www.metacritic.com/movie/some-like-it-hot,['Billy Wilder'],"['Comedy', 'Romance']"
19,North by Northwest,https://www.metacritic.com/movie/north-by-northwest,['Alfred Hitchcock'],"['Action', 'Adventure', 'Mystery', 'Thriller']"
20,Hoop Dreams,https://www.metacritic.com/movie/hoop-dreams,['Steve James'],"['Drama', 'Sport', 'Documentary']"
21,Rashomon,https://www.metacritic.com/movie/rashomon,['Akira Kurosawa'],"['Drama', 'Mystery', 'Crime']"
22,All About Eve,https://www.metacritic.com/movie/all-about-eve,['Joseph L. Mankiewicz'],['Drama']
23,Jules and Jim,https://www.metacritic.com/movie/jules-and-jim,['François Truffaut'],"['Drama', 'Romance']"
24,The Wild Bunch,https://www.metacritic.com/movie/the-wild-bunch,['Sam Peckinpah'],"['Action', 'Adventure', 'Western']"
25,My Left Foot,https://www.metacritic.com/movie/my-left-foot,['Jim Sheridan'],"['Biography', 'Drama']"
26,The Third Man,https://www.metacritic.com/movie/the-third-man,['Carol Reed'],"['Mystery', 'Thriller', 'Film-Noir']"
27,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,https://www.metacritic.com/movie/dr-strangelove-or-how-i-learned-to-stop-worrying-and-love-the-bomb,['Stanley Kubrick'],"['Thriller', 'Comedy']"
28,"Quo Vadis, Aida?",https://www.metacritic.com/movie/quo-vadis-aida,['Jasmila Zbanic'],"['Drama', 'History', 'War']"
29,Psycho,https://www.metacritic.com/movie/psycho-1960,['Alfred Hitchcock'],"['Mystery', 'Thriller', 'Horror']"
